Elaborado el... 2007-11-15
Mes: 1 de Febrero de 2007 al 28 de Febrero de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO
0533528 |3842 | 2007-03-14 | 10:10:54 | 11:10:54 | idiomas | pc05 | Practica
0710069 |3845 | 2007-03-14 | 11:26:12 | 12:26:12 | idiomas | pc05 | Practica
16749110 |1111 | 2007-03-14 | 11:07:26 | 12:07:26 | idiomas | pc05 | Practica
0444268 |3748 | 2007-03-14 | 10:34:19 | 11:34:19 | idiomas | pc06 | Practica
0733644 |3846 | 2007-03-14 | 11:10:33 | 12:10:33 | idiomas | pc06 | Practica
0736690 |3857 | 2007-03-14 | 10:43:04 | 11:43:04 | idiomas | pc07 | Practica
0522208 |3857 | 2007-03-14 | 10:55:11 | 11:55:11 | idiomas | pc21 | Practica
16704493 |1111 | 2007-03-14 | 10:00:28 | 11:00:28 | idiomas | pc22 | Practica
0731954 |3846 | 2007-03-14 | 11:11:43 | 12:11:43 | idiomas | pc22 | Practica
0730878 |3857 | 2007-03-16 | 10:26:45 | 11:26:45 | idiomas | pc01 | Clase
0732883 |3857 | 2007-03-16 | 10:27:00 | 11:27:00 | idiomas | pc02 | Clase
0731174 |3857 | 2007-03-16 | 10:54:38 | 11:54:38 | idiomas | pc03 | Practica
0731800 |3857 | 2007-03-16 | 10:49:00 | 11:49:00 | idiomas | pc04 | Practica
0731800 |3857 | 2007-03-16 | 10:27:50 | 11:27:50 | idiomas | pc04 | Clase
0730637 |3857 | 2007-03-16 | 10:28:17 | 11:28:17 | idiomas | pc05 | Clase
0730637 |3857 | 2007-03-16 | 10:49:28 | 11:49:28 | idiomas | pc05 | Practica
0732212 |3857 | 2007-03-16 | 10:28:42 | 11:28:42 | idiomas | pc06 | Clase
0733717 |3857 | 2007-03-16 | 10:28:58 | 11:28:58 | idiomas | pc07 | Clase
0734540 |3857 | 2007-03-16 | 10:49:55 | 11:49:55 | idiomas | pc07 | Practica
0732647 |3857 | 2007-03-16 | 10:29:14 | 11:29:14 | idiomas | pc08 | Clase
0730819 |3857 | 2007-03-16 | 10:50:18 | 11:50:18 | idiomas | pc09 | Practica
0732275 |3857 | 2007-03-16 | 10:29:31 | 11:29:31 | idiomas | pc09 | Clase
0734882 |3857 | 2007-03-16 | 10:29:50 | 11:29:50 | idiomas | pc10 | Clase
0735739 |3857 | 2007-03-16 | 10:50:36 | 11:50:36 | idiomas | pc11 | Practica
0736690 |3857 | 2007-03-16 | 10:30:13 | 11:30:13 | idiomas | pc11 | Clase
0731286 |3857 | 2007-03-16 | 10:33:42 | 11:33:42 | idiomas | pc12 | Clase
0422114 |3842 | 2007-03-16 | 10:52:13 | 11:52:13 | idiomas | pc13 | Practica
0730838 |3857 | 2007-03-16 | 10:51:11 | 11:51:11 | idiomas | pc14 | Practica
0730838 |3857 | 2007-03-16 | 10:06:26 | 11:06:26 | idiomas | pc14 | Practica
0731777 |3846 | 2007-03-16 | 10:51:56 | 11:51:56 | idiomas | pc16 | Practica
0731777 |3846 | 2007-03-16 | 10:06:03 | 11:06:03 | idiomas | pc16 | Practica
0734964 |3857 | 2007-03-16 | 10:05:43 | 11:05:43 | idiomas | pc18 | Practica
0734964 |3857 | 2007-03-16 | 10:52:43 | 11:52:43 | idiomas | pc18 | Practica
0732056 |3857 | 2007-03-16 | 10:04:13 | 11:04:13 | idiomas | pc20 | Practica
0732056 |3857 | 2007-03-16 | 10:53:05 | 11:53:05 | idiomas | pc20 | Practica
0734540 |3857 | 2007-03-16 | 10:01:18 | 11:01:18 | idiomas | pc22 | Practica
0730810 |3857 | 2007-03-16 | 10:53:25 | 11:53:25 | idiomas | pc22 | Practica
0439281 |3857 | 2007-03-16 | 09:40:04 | 10:40:04 | idiomas | pc22 | Practica
0441903 |3857 | 2007-03-17 | 17:00:27 | 18:00:27 | idiomas | pc12 | Practica
